compressor,docsSampled,dictDocsSampled,dictBytes
lz4-fast,1000,100,4096

dbName,collName,numDocs,avgDocSize,sizeGB,storageGB,existingCompRatio,compEnabled,minSample,maxSample,avgSample,minComp,maxComp,avgComp,projectedCompRatio,exceptions,compTime(ms)
operators,guide1,5312,19057,0.0943,0.1022,0.9224,,23048,33344,28897,18618,23323,21240,0.8972,0,46.1161
tmc,cases,320341,349,0.1041,0.1255,0.8299,,261,349,318,230,311,286,1.2203,0,1.3406
testdb,testcoll1,1000000,2553,2.3777,2.5457,0.9340,Y/2032,2549,2549,2549,2563,2564,2563,0.9961,0,1.9527
